MAGIC	WIZARDS
Disable_Cancel	Disable_Cancel
Enable_Cancel	Enable_Cancel
Disable_Mouse_Wait	Disable_Mouse_Wait
Enable_Mouse_Wait	Enable_Mouse_Wait
Set_Help_List	Set_Help_List
Deactivate_Help_List	Deactivate_Help_List
Check_Help_List	Check_Help_List
UU_GUI_GetControlWidth	UU_GUI_GetControlWidth
UU_GUI_GetControlHeight	UU_GUI_GetControlHeight
UU_GUI_GetLastClickX	UU_GUI_GetLastClickX
UU_GUI_GetLastClickY	UU_GUI_GetLastClickY
UU_GUI_GetLastClickBtns	UU_GUI_GetLastClickBtns
Auto_Input	Auto_Input
CRP_GUI_KeyInputOnly	RP_GUI_KeyInputOnly
Interpret_Keyboard_Input	Interpret_Keyboard_Input
GUI_GetNextControl	GUI_GetNextControl
GUI_MouseEmuMove	UU_GUI_MouseEMUMoveTo
Scan_Field	Scan_Field
Scan_Input	Scan_Input
UU_GUI_KeyWaitLoop	UU_GUI_KeyWaitLoop
G_GUI_ClearInput	Reset_Wait_For_Input
G_GUI_PressAnyKey	Wait_For_Input
GUI_ProcessDirKey	Process_Direction_Key__STUB
Input_Box_Popup	Input_Box_Popup
Setup_Input_Box_Popup	Setup_Input_Box_Popup
GUI_EditBoxRedraw	Draw_Input_Box_Popup
Add_Input_Field	Add_Input_Field
UU_GUI_CreateEditSelect	Add_Continuous_String_Input_Field
UU_GUI_Ctrl_DecHeight	UU_GUI_Ctrl_DecHeight
UU_GUI_CreateDialogLine	Add_String_List_Field
UU_UI_AddAltKeyControl	Add_Multi_Hot_Key_Field
RP_GUI_CreateImageLabel	Add_Picture_Field
