segment_pair	ordinal	MAGIC	WIZARDS	size_ratio	normalized_similarity	normalized_line_edit_distance	normalized_line_edit_similarity	mnemonic_similarity	mnemonic_line_edit_distance	mnemonic_line_edit_similarity	magic_instruction_count	wizards_instruction_count
seg034->seg036	58	UU_GUI_NoSelectColor	NX_UU_GUI_NoSelectColor	1.000000	0.929688	3	0.800000	1.000000	0	1.000000	13	13
seg033->seg035	37	Draw_Mouse_On_Page	Draw_Mouse_On_Page	1.000000	0.929797	6	0.769231	0.952381	2	0.916667	24	24
seg011->seg011	5	gfclose	gfclose	1.000000	0.930233	2	0.833333	1.000000	0	1.000000	7	7
seg017->seg017	56	UU_VGA_GetFontColor3	Get_Current_Special_Color	1.000000	0.931129	1	0.909091	1.000000	0	1.000000	11	11
SOUND->SOUND	11	BLASTER__board_ID	BLASTER__board_ID	1.000000	0.931444	18	0.882353	1.000000	0	1.000000	132	132
seg031->seg033	17	UU_LBX_IMG_RevGrayscale	LBX_IMG_RevGrayscale	1.000000	0.933473	7	0.906667	1.000000	0	1.000000	70	70
seg017->seg017	54	VGA_GetFontColor1	Get_Current_Normal_Color	1.000000	0.933702	1	0.909091	1.000000	0	1.000000	11	11
seg028->seg030	38	UU_VGA_FILEH_GetFrame	Get_File_Animation_Frame	1.000000	0.933798	1	0.909091	1.000000	0	1.000000	11	11
_AIL_->_AIL_	82	_block_type	_block_type	1.000000	0.938144	1	0.909091	1.000000	0	1.000000	10	10
_AIL_->_AIL_	27	_AIL_describe_driver	_AIL_describe_driver	1.000000	0.940594	3	0.869565	1.000000	0	1.000000	20	20
_AIL_->_AIL_	1	_find_proc	_find_proc	1.000000	0.941011	1	0.962963	1.000000	0	1.000000	23	23
seg034->seg036	78	Restore_Auto_Function	Restore_Auto_Function	1.000000	0.941799	2	0.800000	1.000000	0	1.000000	9	9
seg017->seg017	53	VGA_GetFontIndex	Get_Current_Font_Style	1.000000	0.943820	1	0.909091	1.000000	0	1.000000	11	11
seg014->seg014	12	UU_VGA_DrawRect	UU_VGA_DrawRect	1.000000	0.944513	3	0.951613	1.000000	0	1.000000	59	59
seg034->seg036	81	Invoke_Auto_Function	Invoke_Auto_Function	1.000000	0.946860	1	0.875000	1.000000	0	1.000000	7	7
seg017->seg017	8	UU_VGA_SetSpaceWidth	Set_Font_Spacing_Width	1.000000	0.947059	2	0.818182	0.917431	1	0.909091	11	11
seg034->seg036	28	G_GUI_ClearInput	Reset_Wait_For_Input	1.000000	0.947239	3	0.884615	1.000000	0	1.000000	21	21
seg020->seg020	8	UU_PAL_SavePalette	NX_VGA_SaveDAC	1.000000	0.949686	1	0.928571	1.000000	0	1.000000	14	14
seg013->seg013	25	EMM_Map4_EMMDATAH	EMMDATAH_Map	1.000000	0.950980	1	0.900000	1.000000	0	1.000000	10	10
seg022->seg022	8	Random	Random	1.000000	0.952567	5	0.932432	1.000000	0	1.000000	69	69
seg030->seg032	2	EMM_MapNextIMGPages	EMS_Clipped_Draw_Map4Pages	1.000000	0.954545	4	0.789474	1.000000	0	1.000000	19	19
seg016->seg016	10	RP_VGA_Columns	UU_VGA_Columns	1.000000	0.954631	4	0.968750	1.000000	0	1.000000	117	117
seg033->seg035	5	Mouse_Button	Mouse_Button	1.000000	0.955294	2	0.894737	1.000000	0	1.000000	18	18
seg017->seg017	7	Set_Font_LF	Set_Font_LF	1.000000	0.955684	1	0.944444	1.000000	0	1.000000	18	18
_AIL_->_AIL_	94	_xfer_chunk	_xfer_chunk	1.000000	0.957682	4	0.954545	1.000000	0	1.000000	86	86
seg034->seg036	48	UU_GUI_CreateWndLabel	UU_Add_Clipped_Hidden_Field	1.000000	0.958391	13	0.924855	1.000000	0	1.000000	151	151
seg032->seg034	4	UU_MATH_Int_Sin	Sin	1.000000	0.961440	5	0.940476	0.980263	1	0.986486	74	74
seg028->seg030	18	LBX_IMG_GetWidth	FLIC_Get_Width	1.000000	0.962687	2	0.833333	0.956522	1	0.916667	12	12
_AIL_->_AIL_	26	_AIL_release_drv_hnd	_AIL_release_drv_hnd	1.000000	0.964775	3	0.916667	1.000000	0	1.000000	29	29
seg016->seg016	2	Dot	Dot	1.000000	0.965831	5	0.852941	0.967972	2	0.939394	33	33
seg028->seg030	17	UU_LBX_IMG_GetFrameCnt	FLIC_Get_FrameCount	1.000000	0.967532	2	0.833333	0.956522	1	0.916667	12	12
seg010->seg010	17	RAM_Set_Minimum	RAM_Set_Minimum	1.000000	0.968641	2	0.818182	1.000000	0	1.000000	7	7
seg033->seg035	45	UU_GUI_FindEmptyClick	UU_GUI_FindEmptyClick	1.000000	0.970149	2	0.935484	1.000000	0	1.000000	25	25
_AIL_->_AIL_	30	_AIL_shutdown_drvr	_AIL_shutdown_drvr	1.000000	0.970944	2	0.920000	1.000000	0	1.000000	21	21
_AIL_->_AIL_	3	_API_timer	_API_timer	1.000000	0.971466	4	0.948718	1.000000	0	1.000000	68	68
seg017->seg017	9	UU_VGA_SetHorzSpacing	Set_Font_Spacing	1.000000	0.972376	2	0.818182	0.955752	1	0.909091	11	11
seg034->seg036	5	UU_GUI_SetClickBuffer	UU_GUI_SetClickBuffer	1.000000	0.973277	1	0.958333	1.000000	0	1.000000	24	24
seg032->seg034	5	UU_VGA_DrawTexture	VGA_DrawTexture	1.000000	0.974211	8	0.953757	1.000000	0	1.000000	161	161
_AIL_->_AIL_	11	_program_timers	_program_timers	1.000000	0.974598	5	0.923077	1.000000	0	1.000000	52	52
seg032->seg034	3	UU_MATH_Int_Cos	Cos	1.000000	0.974598	3	0.964286	0.980519	1	0.986667	75	75
_AIL_->_AIL_	6	_hook_timer_process	_hook_timer_process	1.000000	0.976285	2	0.939394	1.000000	0	1.000000	28	28
seg028->seg030	21	UU_VGA_WndDrawImageRect	VGA_WndDrawImageRect	1.000000	0.976912	103	0.944979	1.000000	0	1.000000	1739	1739
_AIL_->_AIL_	29	_AIL_init_driver	_AIL_init_driver	1.000000	0.977307	3	0.965116	1.000000	0	1.000000	79	79
seg031->seg033	10	UU_LBX_IMG_GetIntensity	UU_LBX_IMG_GetIntensity	1.000000	0.978673	3	0.958904	1.000000	0	1.000000	66	66
_AIL_->_AIL_	85	_DP_preformat	_DP_preformat	1.000000	0.979377	4	0.951220	1.000000	0	1.000000	77	77
_AIL_->_AIL_	91	_process_block	_process_block	1.000000	0.980313	4	0.974359	1.000000	0	1.000000	146	146
_AIL_->_AIL_	8	_set_PIT_divisor	_set_PIT_divisor	1.000000	0.981073	1	0.965517	1.000000	0	1.000000	25	25
seg026->seg028	9	Copy_Back_To_Off	Copy_Back_To_Off	1.000000	0.982051	2	0.945946	1.000000	0	1.000000	37	37
seg022->seg022	6	Get_Random_Seed	Get_Random_Seed	1.000000	0.982405	1	0.941176	1.000000	0	1.000000	16	16
seg013->seg013	19	UU_Get_EMM_OK	UU_EMM_Available	1.000000	0.984375	1	0.833333	1.000000	0	1.000000	6	6
seg026->seg028	10	VGA_SaveDraw_Frame4	Copy_Off_To_Page4	1.000000	0.984810	1	0.973684	1.000000	0	1.000000	37	37
seg033->seg035	18	Pointer_X	Pointer_X	1.000000	0.984848	1	0.833333	1.000000	0	1.000000	6	6
seg013->seg013	22	UU_EMM_VGARead_fP5	RP_EMM_VGARead_fP5	1.000000	0.985366	1	0.941176	1.000000	0	1.000000	17	17
seg013->seg013	21	UU_EMM_VGAWrite_fP5	RP_EMM_VGAWrite_fP5	1.000000	0.985437	1	0.941176	1.000000	0	1.000000	17	17
seg021->seg021	5	UU_VGA_ColorWave	NX_VGA_ColorWave	1.000000	0.986124	2	0.975309	1.000000	0	1.000000	75	75
_AIL_->_AIL_	15	_AIL_release_tmr_hnd	_AIL_release_tmr_hnd	1.000000	0.987319	1	0.975000	1.000000	0	1.000000	35	35
seg016->seg016	6	RP_VGA_DiagColumns	UU_VGA_DiagColumns	1.000000	0.988912	5	0.964789	1.000000	0	1.000000	132	132
