MAGIC	WIZARDS	magic_bytes	wizards_bytes	size_ratio
seg010p1:LBX_Load	seg010p1:LBX_Load	28	28	1.000000
seg010p2:LBX_Reload	seg010p2:LBX_Reload	29	29	1.000000
seg010p3:LBX_Reload_Next	seg010p3:LBX_Reload_Next	29	29	1.000000
seg010p4:LBX_Load_Data	seg010p4:LBX_Load_Data	34	34	1.000000
seg010p5:RP_LBXR_LoadReplace	seg010p5:UU_LBXR_LoadReplace	35	35	1.000000
seg010p6:RP_LBXR_LoadAppend	seg010p6:UU_LBXR_LoadAppend	35	35	1.000000
seg010p7:UU_LBXE_LoadSingle2	seg010p7:UU_LBXE_LoadSingle2	29	29	1.000000
seg010p8:UU_LBXE_LoadReplace2	seg010p8:UU_LBXE_LoadReplace2	30	30	1.000000
seg010p9:UU_LBXE_LoadAppend2	seg010p9:UU_LBXE_LoadAppend2	30	30	1.000000
seg010p10:LBX_Load_Library	seg010p10:LBX_Load_Entry	1046	1046	1.000000
seg010p11:LBX_Load_Record	seg010p11:LBX_Load_Library_Data	1224	1224	1.000000
seg010p12:LBX_Load_Data_Static	seg010p12:LBX_Load_Data_Static	815	815	1.000000
seg010p13:LBX_GetEntryData	seg010p13:LBX_Get_Entry_Data	537	537	1.000000
seg010p14:Set_Alternate_Path	seg010p14:Set_Alternate_Path	19	19	1.000000
seg010p15:Error_Handler	seg010p15:Error_Handler	415	415	1.000000
seg010p16:File_Name_Base	seg010p16:File_Name_Base	61	61	1.000000
seg010p17:RAM_Set_Minimum	seg010p17:RAM_Set_Minimum	11	11	1.000000
seg011p1:gfopen	seg011p1:gfopen	119	119	1.000000
seg011p2:gfread	seg011p2:gfread	47	47	1.000000
seg011p3:gfwrite	seg011p3:gfwrite	47	47	1.000000
seg011p4:gfseek	seg011p4:gfseek	22	22	1.000000
seg011p5:gfclose	seg011p5:gfclose	13	13	1.000000
seg012p1:EMM_Detect_Device	seg012p1:EMM_Detect_Device	88	88	1.000000
seg012p2:EMM_GetActiveHandleCount	seg012p2:EMM_Number_Of_Handles	28	28	1.000000
seg012p3:EMM_GetFreePageCount	seg012p3:EMM_Get_Free_Page_Count	28	28	1.000000
seg012p4:EMS_GetHandlePageCount	seg012p4:EMM_GetPageCount	36	36	1.000000
seg012p5:EMS_MakeNamedHandle	seg012p5:EMM_MakeNamedHandle	60	60	1.000000
seg012p6:EMS_GetHandleName	seg012p6:EMM_Get_Handle_Name	54	54	1.000000
seg012p7:EMM_ReleaseHandle	seg012p7:EMM_Release_Handle	26	26	1.000000
seg012p8:EMM_MapnRead	seg012p8:EMM_MapnRead	127	127	1.000000
seg012p9:EMM_MapnWrite	seg012p9:EMM_MapnWrite	127	127	1.000000
seg012p10:EMM_GetPageFrame	seg012p10:EMM_Get_Page_Frame	11	11	1.000000
seg012p11:EMM_Map4	seg012p11:EMM_MapFourPages	59	59	1.000000
seg012p12:EMM_MapMulti4	seg012p12:EMM_MapMulti4	59	59	1.000000
seg013p1:EMM_Startup	seg013p1:EMM_Startup	431	431	1.000000
seg013p2:UU_EMM_Load_LBX_0	seg013p2:EMM_Load_LBX_File_0	18	18	1.000000
seg013p3:EMM_Load_LBX_File_1	seg013p3:EMM_Load_LBX_File_1	19	19	1.000000
seg013p4:EMM_Load_LBX_File	seg013p4:EMM_Load_LBX_File	532	532	1.000000
seg013p5:UU_EMM_LoadLBX2Hnd	seg013p5:RP_EMM_LoadLBX2Hnd	25	25	1.000000
seg013p6:UU_EMM_LoadLBX2Hnd2	seg013p6:RP_EMM_LoadLBX2Hnd2	26	26	1.000000
seg013p7:UU_EMM_LoadLBX_Fail	seg013p7:UU_EMM_LoadLBX_Fail	483	483	1.000000
seg013p8:UU_EMM_CustLoadLBX	seg013p8:UU_EMM_CustLoadLBX	37	37	1.000000
seg013p9:UU_EMM_CustLoadLBX2	seg013p9:UU_EMM_CustLoadLBX2	38	38	1.000000
seg013p10:UU_EMM_CustomLBXLoad	seg013p10:UU_EMM_CustomLBXLoad	551	551	1.000000
seg013p11:EMM_LBX_Load_Entry	seg013p11:EMM_LBX_EntryLoader	670	670	1.000000
seg013p12:EMM_LBX_Load_FLIC_Header	seg013p12:EMM_LBX_Load_Picture_Header	513	513	1.000000
seg013p13:EMM_LBX_Load_Record	seg013p13:EMM_LBX_RecLoader	706	706	1.000000
seg013p14:EMM_LBXR_DirectLoad	seg013p14:EMM_LBXR_DirectLoad	425	425	1.000000
seg013p15:EMM_CheckHandleOpen	seg013p15:EMM_CheckHandleOpen	85	85	1.000000
seg013p16:EMM_ReleaseAll__STUB	seg013p16:EMM_Release_All	54	54	1.000000
seg013p17:EMM_Release_Resd	seg013p17:EMM_Release_Resd	53	53	1.000000
seg013p18:UU_EMM_ReleaseHnd	seg013p18:UU_EMM_ReleaseHnd	235	235	1.000000
seg013p19:UU_Get_EMM_OK	seg013p19:UU_EMM_Available	10	10	1.000000
seg013p20:EMM_Get_Handle	seg013p20:EMM_Get_Handle	573	573	1.000000
